Title: Observational Constraints on the Initial Conditions of High-Mass Star Formation
Author: Morii K.
Table: 3.6 Core physical parameters
================================================================================
Byte-by-byte Description of file: datafile6_corephy.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label      Explanations
--------------------------------------------------------------------------------
   1-  3 I3     --        id         Sequential identifier
   5- 19 A15    --        ClumpName  Clump ATLASGAL catalog name (1)
  21- 26 A6     --        CoreName   Core name (Unique within Clump)
  28- 31 F4.1   K         Tdust      Dust temperature used for mass calculation
  33- 37 F5.2   Msun      Mcore      Core mass
  39- 43 F5.2   10+23cm-2 N(H2)peak  Column density at continuum peak in a unit of 10^23 cm^-2
  45- 49 I5     au        Radius     Core radius, the geometric mean of the FWHM divided by 2.
  51- 54 F4.2   g.cm-2    Sigma      Surface density
  56- 60 F5.2   10+6cm-3  n(H2)      Molecular volume density
--------------------------------------------------------------------------------
Note (1): By replacing G for AGAL, the source name Column (1) matches
    with the ATLASGAL simple names, Schuller et al. (2009)
    [2009A&A...504..415S]; Urquhart et al. (2014, 2018)
    [2014MNRAS.443.1555U, 2018MNRAS.473.1059U].
--------------------------------------------------------------------------------
151 G022.692-00.452 ALMA9  18.0  1.67  0.16  6190 0.12  0.21 
152 G022.692-00.452 ALMA10 18.0  0.90  0.15  3920 0.16  0.45 
153 G022.692-00.452 ALMA11 18.0  0.48  0.13  3300 0.12  0.40 
154 G022.692-00.452 ALMA12 18.0  0.28  0.11  2890 0.09  0.35 
155 G023.477+00.114 ALMA1  13.9 17.02  5.00  3710 3.43 10.07 
156 G023.477+00.114 ALMA2  13.9 22.60  2.84  4950 2.55  5.64 
157 G023.477+00.114 ALMA3  13.9  8.02  1.93  3510 1.87  5.63 
158 G023.477+00.114 ALMA4  13.9 13.00  1.60  6390 0.89  1.51 
159 G023.477+00.114 ALMA5  13.9  2.76  0.93  2680 1.16  4.33 
160 G023.477+00.114 ALMA6  13.9  2.04  0.93  2270 1.17  5.29 
161 G023.477+00.114 ALMA7  13.9  7.69  0.81  4950 0.85  1.92 
162 G023.477+00.114 ALMA8  13.9  1.44  0.50  2680 0.53  2.27 
163 G023.477+00.114 ALMA9  13.9  3.63  0.39  5360 0.36  0.71 
164 G023.477+00.114 ALMA10 13.9  2.42  0.34  5360 0.25  0.47 
165 G023.477+00.114 ALMA11 13.9  0.85  0.28  3090 0.24  0.87 
166 G023.477+00.114 ALMA12 13.9  0.60  0.28  2480 0.26  1.20 
167 G023.477+00.114 ALMA13 13.9  0.79  0.28  2680 0.31  1.24 
168 G023.477+00.114 ALMA14 13.9  0.72  0.25  2890 0.25  0.90 
169 G023.477+00.114 ALMA15 13.9  0.58  0.22  3090 0.18  0.59 
170 G023.477+00.114 ALMA16 13.9  0.49  0.21  2480 0.23  0.98 
171 G023.477+00.114 ALMA17 13.9  0.41  0.20  2270 0.23  1.06 
172 G023.477+00.114 ALMA18 13.9  0.67  0.20  3090 0.21  0.68 
173 G023.477+00.114 ALMA19 13.9  0.61  0.19  3300 0.15  0.51 
174 G024.010+00.489 ALMA1  12.7 38.40  8.45  3920 7.40 19.31 
175 G024.010+00.489 ALMA2  12.7 12.63  4.80  2680 5.09 19.83 
176 G024.010+00.489 ALMA3  12.7  6.21  1.01  4130 1.01  2.68 
177 G024.010+00.489 ALMA4  12.7  4.77  0.66  5160 0.49  1.05 
178 G024.010+00.489 ALMA5  12.7  2.10  0.58  3090 0.61  2.15 
179 G024.010+00.489 ALMA6  12.7  1.57  0.58  2680 0.64  2.46 
180 G024.010+00.489 ALMA7  12.7  7.24  0.51  6600 0.48  0.76 
181 G024.010+00.489 ALMA8  12.7  1.68  0.51  2890 0.55  2.11 
182 G024.010+00.489 ALMA9  12.7  1.81  0.41  3510 0.40  1.27 
183 G024.010+00.489 ALMA10 12.7  1.97  0.39  3710 0.42  1.16 
184 G024.010+00.489 ALMA11 12.7  1.40  0.37  3300 0.36  1.18 
185 G024.010+00.489 ALMA12 12.7  1.31  0.32  3090 0.37  1.34 
186 G024.010+00.489 ALMA13 12.7  3.36  0.27  6190 0.24  0.43 
187 G024.010+00.489 ALMA14 12.7  4.10  0.26  7840 0.19  0.26 
188 G024.010+00.489 ALMA15 12.7  4.02  0.25  7010 0.24  0.35 
189 G024.010+00.489 ALMA16 12.7  2.19  0.23  5360 0.21  0.43 
190 G024.524-00.139 ALMA1  13.1  6.12  4.18  1860 5.10 28.98 
191 G024.524-00.139 ALMA2  13.1  5.44  3.94  1860 4.80 25.76 
192 G024.524-00.139 ALMA3  13.1  4.28  2.25  2060 2.68 14.78 
193 G024.524-00.139 ALMA4  13.1 13.06  1.48  5980 1.06  1.85 
194 G024.524-00.139 ALMA5  13.1  2.86  1.06  2680 1.21  4.49 
195 G024.524-00.139 ALMA6  13.1  4.46  0.97  3920 0.79  2.24 
196 G024.524-00.139 ALMA7  13.1  3.80  0.97  3920 0.67  1.91 
197 G024.524-00.139 ALMA8  13.1  1.22  0.59  2060 0.74  4.20 
198 G024.524-00.139 ALMA9  13.1  2.90  0.57  4130 0.49  1.25 
199 G024.524-00.139 ALMA10 13.1  2.91  0.46  5360 0.30  0.57 
200 G024.524-00.139 ALMA11 13.1  1.00  0.39  2480 0.44  1.99 
201 G024.524-00.139 ALMA12 13.1  2.15  0.34  4330 0.32  0.80 
202 G024.524-00.139 ALMA13 13.1  0.59  0.32  2060 0.39  2.04 
203 G024.524-00.139 ALMA14 13.1  1.21  0.30  3510 0.26  0.85 
204 G024.524-00.139 ALMA15 13.1  1.30  0.30  3510 0.30  0.91 
205 G024.524-00.139 ALMA16 13.1  0.54  0.29  2060 0.35  1.86 
206 G024.524-00.139 ALMA17 13.1  0.53  0.29  2060 0.36  1.82 
207 G024.524-00.139 ALMA18 13.1  1.01  0.29  3090 0.29  1.03 
208 G024.524-00.139 ALMA19 13.1  0.73  0.27  2890 0.24  0.91 
209 G024.524-00.139 ALMA20 13.1  1.74  0.23  5160 0.18  0.38 
210 G024.524-00.139 ALMA21 13.1  2.22  0.21  5570 0.20  0.39 
211 G024.524-00.139 ALMA22 13.1  1.31  0.18  5780 0.12  0.21 
212 G024.524-00.139 ALMA23 13.1  0.59  0.17  3710 0.12  0.35 
213 G025.163-00.304 ALMA1  12.9 19.03  3.65  5360 1.80  3.73 
214 G025.163-00.304 ALMA2  12.9 15.36  3.58  5780 1.27  2.41 
215 G025.163-00.304 ALMA3  12.9  2.20  1.08  2480 1.07  4.39 
216 G025.163-00.304 ALMA4  12.9  1.31  0.91  1860 1.06  6.20 
217 G025.163-00.304 ALMA5  12.9  1.05  0.81  1650 0.98  7.08 
218 G025.163-00.304 ALMA6  12.9  0.67  0.68  1440 0.87  6.71 
219 G025.163-00.304 ALMA7  12.9  2.79  0.60  3710 0.58  1.65 
220 G025.163-00.304 ALMA8  12.9  2.79  0.54  3710 0.55  1.65 
221 G025.163-00.304 ALMA9  12.9  0.96  0.52  2060 0.59  3.31 
222 G025.163-00.304 ALMA10 12.9  0.71  0.48  2060 0.52  2.44 
223 G025.163-00.304 ALMA11 12.9  1.65  0.48  3300 0.41  1.39 
224 G025.163-00.304 ALMA12 12.9  0.96  0.47  2480 0.48  1.91 
225 G025.163-00.304 ALMA13 12.9  0.64  0.41  1860 0.51  3.01 
226 G025.163-00.304 ALMA14 12.9  0.96  0.38  2480 0.44  1.91 
227 G025.163-00.304 ALMA15 12.9  1.42  0.38  3090 0.44  1.45 
