Title: Observational Constraints on the Initial Conditions of High-Mass Star Formation
Author: Morii K.
Table: 3.6 Core physical parameters
================================================================================
Byte-by-byte Description of file: datafile6_corephy.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label      Explanations
--------------------------------------------------------------------------------
   1-  3 I3     --        id         Sequential identifier
   5- 19 A15    --        ClumpName  Clump ATLASGAL catalog name (1)
  21- 26 A6     --        CoreName   Core name (Unique within Clump)
  28- 31 F4.1   K         Tdust      Dust temperature used for mass calculation
  33- 37 F5.2   Msun      Mcore      Core mass
  39- 43 F5.2   10+23cm-2 N(H2)peak  Column density at continuum peak in a unit of 10^23 cm^-2
  45- 49 I5     au        Radius     Core radius, the geometric mean of the FWHM divided by 2.
  51- 54 F4.2   g.cm-2    Sigma      Surface density
  56- 60 F5.2   10+6cm-3  n(H2)      Molecular volume density
--------------------------------------------------------------------------------
Note (1): By replacing G for AGAL, the source name Column (1) matches
    with the ATLASGAL simple names, Schuller et al. (2009)
    [2009A&A...504..415S]; Urquhart et al. (2014, 2018)
    [2014MNRAS.443.1555U, 2018MNRAS.473.1059U].
--------------------------------------------------------------------------------
609 G333.524-00.269 ALMA16 21.2  0.48  0.49  1440 0.61  4.86 
610 G333.524-00.269 ALMA17 21.2  3.31  0.46  4540 0.47  1.07 
611 G333.524-00.269 ALMA18 21.2  1.92  0.45  4130 0.33  0.83 
612 G333.524-00.269 ALMA19 21.2  3.00  0.45  4740 0.38  0.85 
613 G333.524-00.269 ALMA20 21.2  1.18  0.44  3090 0.34  1.21 
614 G333.524-00.269 ALMA21 21.2  0.30  0.41  1240 0.51  4.86 
615 G333.524-00.269 ALMA22 21.2  0.56  0.41  1860 0.49  2.65 
616 G333.524-00.269 ALMA23 21.2  1.11  0.39  3510 0.26  0.78 
617 G333.524-00.269 ALMA24 21.2  2.67  0.34  5360 0.26  0.52 
618 G333.524-00.269 ALMA25 21.2  0.81  0.33  2480 0.35  1.61 
619 G333.524-00.269 ALMA26 21.2  0.34  0.29  1860 0.30  1.62 
620 G333.524-00.269 ALMA27 21.2  0.24  0.27  1440 0.32  2.41 
621 G333.524-00.269 ALMA28 21.2  0.92  0.27  3300 0.23  0.77 
622 G333.524-00.269 ALMA29 21.2  0.30  0.27  1650 0.30  2.01 
623 G333.524-00.269 ALMA30 21.2  0.29  0.25  1650 0.29  1.96 
624 G333.524-00.269 ALMA31 21.2  0.86  0.24  3300 0.23  0.72 
625 G333.524-00.269 ALMA32 21.2  0.82  0.22  3510 0.18  0.58 
626 G333.524-00.269 ALMA33 21.2  0.38  0.21  2270 0.21  0.99 
627 G333.524-00.269 ALMA34 21.2  0.35  0.20  2480 0.17  0.69 
628 G333.524-00.269 ALMA35 21.2  0.25  0.20  1860 0.22  1.19 
629 G333.524-00.269 ALMA36 21.2  0.29  0.19  1860 0.22  1.35 
630 G333.524-00.269 ALMA37 21.2  0.43  0.17  2890 0.15  0.54 
631 G333.524-00.269 ALMA38 21.2  0.28  0.16  2060 0.17  0.95 
632 G337.342-00.119 ALMA1  14.5  2.59  0.35  4330 0.39  0.96 
633 G337.342-00.119 ALMA2  14.5  0.62  0.27  2270 0.31  1.61 
634 G337.342-00.119 ALMA3  14.5  2.14  0.25  5980 0.17  0.30 
635 G337.342-00.119 ALMA4  14.5  0.67  0.25  3090 0.21  0.69 
636 G337.342-00.119 ALMA5  14.5  0.44  0.19  2680 0.17  0.69 
637 G337.342-00.119 ALMA6  14.5  1.31  0.19  5160 0.14  0.29 
638 G337.342-00.119 ALMA7  14.5  0.53  0.17  2680 0.19  0.83 
639 G337.342-00.119 ALMA8  14.5  0.35  0.16  2270 0.20  0.92 
640 G337.342-00.119 ALMA9  14.5  0.74  0.14  4540 0.10  0.24 
641 G337.342-00.119 ALMA10 14.5  0.79  0.14  4540 0.11  0.26 
642 G337.342-00.119 ALMA11 14.5  0.59  0.13  5360 0.06  0.12 
643 G337.342-00.119 ALMA12 14.5  0.49  0.12  3510 0.11  0.34 
644 G337.342-00.119 ALMA13 14.5  0.28  0.12  2680 0.12  0.44 
645 G337.342-00.119 ALMA14 14.5  0.24  0.11  2480 0.10  0.47 
646 G337.342-00.119 ALMA15 14.5  0.34  0.11  3090 0.10  0.35 
647 G337.342-00.119 ALMA16 14.5  0.22  0.11  2480 0.10  0.45 
648 G337.541-00.082 ALMA1  15.3  9.95  3.85  3300 2.73  8.38 
649 G337.541-00.082 ALMA2  15.3  3.99  0.97  3300 1.01  3.36 
650 G337.541-00.082 ALMA3  12.9  5.18  1.08  3710 1.03  3.06 
651 G337.541-00.082 ALMA4  15.2  1.18  0.42  2680 0.48  1.85 
652 G337.541-00.082 ALMA5  11.0  0.93  0.62  1860 0.72  4.40 
653 G337.541-00.082 ALMA6  13.3  3.01  0.47  4950 0.34  0.75 
654 G337.541-00.082 ALMA7  12.4  1.12  0.49  2890 0.40  1.41 
655 G337.541-00.082 ALMA8  13.1  1.31  0.44  2680 0.48  2.06 
656 G337.541-00.082 ALMA9  12.9  2.50  0.42  4130 0.42  1.08 
657 G337.541-00.082 ALMA10 12.7  0.41  0.41  1440 0.50  4.12 
658 G337.541-00.082 ALMA11 12.0  1.06  0.39  2890 0.35  1.33 
659 G337.541-00.082 ALMA12 12.4  0.47  0.35  1860 0.38  2.22 
660 G337.541-00.082 ALMA13 13.1  0.21  0.30  1240 0.38  3.35 
661 G337.541-00.082 ALMA14 15.1  0.59  0.22  3090 0.17  0.60 
662 G337.541-00.082 ALMA15 16.6  0.37  0.20  2270 0.20  0.96 
663 G337.541-00.082 ALMA16 12.5  0.20  0.29  1240 0.35  3.19 
664 G337.541-00.082 ALMA17 15.2  1.34  0.19  5980 0.11  0.19 
665 G337.541-00.082 ALMA18 14.3  0.24  0.16  1860 0.18  1.14 
666 G337.541-00.082 ALMA19 18.9  0.16  0.10  2270 0.08  0.41 
667 G340.179-00.242 ALMA1  17.7  0.79  0.33  2680 0.31  1.24 
668 G340.179-00.242 ALMA2  16.7  1.10  0.30  3710 0.22  0.65 
669 G340.179-00.242 ALMA3  19.1  0.73  0.16  4330 0.11  0.27 
670 G340.179-00.242 ALMA4  18.0  1.92  0.18  6190 0.14  0.25 
671 G340.179-00.242 ALMA5  15.6  0.35  0.20  2060 0.22  1.21 
672 G340.179-00.242 ALMA6  14.1  0.98  0.20  3920 0.18  0.49 
673 G340.179-00.242 ALMA7  17.7  0.67  0.15  4130 0.11  0.29 
674 G340.179-00.242 ALMA8  18.2  1.12  0.13  5780 0.09  0.18 
675 G340.179-00.242 ALMA9  16.7  0.61  0.15  3300 0.15  0.51 
676 G340.179-00.242 ALMA10 16.1  0.52  0.15  3510 0.12  0.37 
677 G340.179-00.242 ALMA11 17.9  0.49  0.13  3090 0.14  0.50 
678 G340.179-00.242 ALMA12 18.0  0.19  0.10  2060 0.12  0.66 
679 G340.179-00.242 ALMA13 17.7  0.65  0.10  5160 0.07  0.14 
680 G340.179-00.242 ALMA14 19.3  0.33  0.09  3300 0.09  0.28 
681 G340.179-00.242 ALMA15 17.7  0.16  0.09  2480 0.07  0.32 
682 G340.179-00.242 ALMA16 20.9  0.22  0.07  3300 0.06  0.19 
683 G340.222-00.167 ALMA1  14.6  4.13  0.87  4540 0.59  1.34 
684 G340.222-00.167 ALMA2  15.4  8.41  0.72  7220 0.46  0.68 
685 G340.222-00.167 ALMA3  14.6  4.21  0.61  6190 0.30  0.54 
686 G340.222-00.167 ALMA4  14.6  2.30  0.45  3710 0.46  1.36 
687 G340.222-00.167 ALMA5  16.1  0.88  0.34  2680 0.35  1.38 
688 G340.222-00.167 ALMA6  14.6  3.05  0.33  5780 0.26  0.48 
689 G340.222-00.167 ALMA7  14.6  0.70  0.31  2480 0.32  1.39 
690 G340.222-00.167 ALMA8  13.6  1.14  0.33  2890 0.37  1.44 
691 G340.222-00.167 ALMA9  11.7  2.18  0.40  3920 0.38  1.10 
692 G340.222-00.167 ALMA10 15.1  0.31  0.27  1650 0.33  2.06 
693 G340.222-00.167 ALMA11 14.5  1.46  0.28  3920 0.28  0.74 
694 G340.222-00.167 ALMA12 16.3  0.96  0.22  3300 0.25  0.80 
695 G340.222-00.167 ALMA13 18.2  1.92  0.20  7010 0.11  0.17 
696 G340.222-00.167 ALMA14 14.6  1.10  0.24  4540 0.15  0.36 
697 G340.222-00.167 ALMA15 14.6  0.87  0.25  3710 0.18  0.52 
698 G340.222-00.167 ALMA16 14.4  0.59  0.25  2680 0.25  0.93 
699 G340.222-00.167 ALMA17 14.0  0.81  0.25  3300 0.20  0.68 
700 G340.222-00.167 ALMA18 10.1  3.23  0.39  5160 0.33  0.71 
701 G340.222-00.167 ALMA19 15.3  0.68  0.17  3300 0.17  0.57 
702 G340.222-00.167 ALMA20 15.1  0.58  0.17  3510 0.13  0.41 
703 G340.222-00.167 ALMA21 14.6  0.90  0.18  5570 0.08  0.16 
704 G340.232-00.146 ALMA1  13.6 31.66  1.31  9690 0.96  1.05 
705 G340.232-00.146 ALMA2  15.4  6.35  1.14  5360 0.65  1.25 
706 G340.232-00.146 ALMA3  15.3  1.07  0.74  1860 0.79  5.06 
707 G340.232-00.146 ALMA4  15.2  1.09  0.44  2480 0.49  2.18 
708 G340.232-00.146 ALMA5  14.9  2.97  0.44  4950 0.36  0.74 
709 G340.232-00.146 ALMA6  16.6  0.66  0.35  2060 0.42  2.28 
710 G340.232-00.146 ALMA7  15.8  1.36  0.36  3920 0.25  0.68 
711 G340.232-00.146 ALMA8  14.1  0.75  0.39  2680 0.32  1.18 
712 G340.232-00.146 ALMA9  15.5  1.28  0.34  3090 0.37  1.31 
713 G340.232-00.146 ALMA10 14.6  1.62  0.37  3510 0.39  1.14 
714 G340.232-00.146 ALMA11 17.2  0.70  0.25  2680 0.30  1.10 
715 G340.232-00.146 ALMA12 16.0  0.69  0.26  2480 0.30  1.38 
716 G340.232-00.146 ALMA13 18.7  0.83  0.21  3710 0.18  0.49 
717 G340.232-00.146 ALMA14 16.2  1.06  0.25  3300 0.27  0.89 
718 G340.232-00.146 ALMA15 15.8  0.37  0.20  2060 0.23  1.28 
719 G340.232-00.146 ALMA16 15.8  0.43  0.17  2480 0.20  0.86 
720 G340.398-00.396 ALMA1  13.5  2.69  0.87  4950 0.30  0.67 
721 G340.398-00.396 ALMA2  13.5  4.43  0.82  4540 0.62  1.43 
722 G340.398-00.396 ALMA3  13.5  1.02  0.61  2060 0.64  3.52 
723 G340.398-00.396 ALMA4  13.5  2.59  0.52  3510 0.60  1.82 
724 G340.398-00.396 ALMA5  13.5  0.91  0.47  2270 0.54  2.37 
725 G340.398-00.396 ALMA6  13.5  5.05  0.47  6190 0.38  0.64 
726 G340.398-00.396 ALMA7  13.5  1.72  0.46  3300 0.44  1.45 
727 G340.398-00.396 ALMA8  13.5  0.55  0.38  2060 0.36  1.91 
728 G340.398-00.396 ALMA9  13.5  0.55  0.37  2060 0.41  1.91 
729 G340.398-00.396 ALMA10 13.5  0.77  0.36  2890 0.26  0.96 
730 G340.398-00.396 ALMA11 13.5  0.50  0.35  2060 0.34  1.73 
731 G340.398-00.396 ALMA12 13.5  0.45  0.34  1860 0.35  2.12 
732 G340.398-00.396 ALMA13 13.5  1.23  0.31  4130 0.21  0.53 
733 G340.398-00.396 ALMA14 13.5  0.61  0.27  2270 0.31  1.57 
734 G340.398-00.396 ALMA15 13.5  1.27  0.25  3920 0.23  0.64 
735 G340.398-00.396 ALMA16 13.5  0.23  0.25  1440 0.29  2.36 
736 G340.398-00.396 ALMA17 13.5  0.95  0.24  4130 0.16  0.41 
737 G340.398-00.396 ALMA18 13.5  0.61  0.23  3090 0.18  0.63 
738 G340.398-00.396 ALMA19 13.5  0.35  0.23  2060 0.25  1.20 
739 G340.398-00.396 ALMA20 13.5  0.31  0.23  2060 0.20  1.08 
740 G340.398-00.396 ALMA21 13.5  0.50  0.22  2680 0.21  0.79 
741 G340.398-00.396 ALMA22 13.5  0.27  0.22  1860 0.20  1.28 
742 G340.398-00.396 ALMA23 13.5  0.33  0.21  2270 0.19  0.86 
743 G340.398-00.396 ALMA24 13.5  0.26  0.21  2060 0.18  0.90 
744 G340.398-00.396 ALMA25 13.5  0.35  0.21  2680 0.15  0.55 
745 G340.398-00.396 ALMA26 13.5  0.53  0.20  3090 0.16  0.55 
746 G340.398-00.396 ALMA27 13.5  0.50  0.20  2890 0.17  0.63 
747 G340.398-00.396 ALMA28 13.5  0.35  0.19  2270 0.20  0.90 
748 G340.398-00.396 ALMA29 13.5  0.43  0.16  2680 0.16  0.67 
749 G341.039-00.114 ALMA1   9.3  7.29  2.82  3300 1.80  6.14 
750 G341.039-00.114 ALMA2  11.5  3.79  1.84  3090 1.16  3.87 
751 G341.039-00.114 ALMA3  14.4  1.62  0.85  2480 0.80  3.23 
752 G341.039-00.114 ALMA4  11.0  5.82  1.21  4740 0.71  1.65 
753 G341.039-00.114 ALMA5  11.4  5.53  1.02  4130 0.91  2.38 
754 G341.039-00.114 ALMA6  13.4  5.50  0.72  5570 0.50  0.96 
755 G341.039-00.114 ALMA7  13.9  0.60  0.68  1440 0.79  6.03 
756 G341.039-00.114 ALMA8  14.6  0.33  0.48  1240 0.62  5.27 
757 G341.039-00.114 ALMA9  12.8  1.56  0.54  2890 0.56  1.96 
758 G341.039-00.114 ALMA10 20.8  0.36  0.29  2060 0.25  1.24 
759 G341.039-00.114 ALMA11 10.2  2.82  0.75  3710 0.59  1.67 
760 G341.039-00.114 ALMA12 14.7  2.17  0.43  3920 0.42  1.09 
761 G341.039-00.114 ALMA13 14.1  0.35  0.44  1440 0.51  3.52 
762 G341.039-00.114 ALMA14 12.3  1.74  0.49  3510 0.40  1.22 
763 G341.039-00.114 ALMA15 12.3  0.50  0.49  1650 0.58  3.37 
764 G341.039-00.114 ALMA16 11.4  0.80  0.53  1860 0.61  3.79 
765 G341.039-00.114 ALMA17 13.7  0.52  0.40  1860 0.46  2.46 
766 G341.039-00.114 ALMA18 13.2  0.36  0.39  1650 0.41  2.43 
767 G341.039-00.114 ALMA19 14.0  0.42  0.35  1650 0.44  2.83 
768 G341.039-00.114 ALMA20 13.0  0.28  0.38  1440 0.42  2.82 
769 G341.039-00.114 ALMA21 12.4  0.61  0.41  1860 0.47  2.89 
770 G341.039-00.114 ALMA22 13.1  0.74  0.36  2480 0.35  1.48 
771 G341.039-00.114 ALMA23 13.2  0.42  0.34  2060 0.25  1.45 
772 G341.039-00.114 ALMA24  8.0  1.16  0.68  2060 0.82  4.00 
773 G341.039-00.114 ALMA25 13.1  0.20  0.30  1240 0.36  3.19 
774 G341.039-00.114 ALMA26 13.2  0.57  0.26  2480 0.25  1.14 
775 G341.039-00.114 ALMA27  9.9  0.82  0.41  2680 0.34  1.29 
776 G341.039-00.114 ALMA28 14.7  0.84  0.23  3710 0.18  0.50 
777 G341.039-00.114 ALMA29 13.2  0.39  0.22  2680 0.16  0.61 
778 G341.039-00.114 ALMA30 14.7  0.61  0.19  3510 0.14  0.43 
779 G341.039-00.114 ALMA31 12.5  0.37  0.23  2060 0.24  1.28 
780 G341.039-00.114 ALMA32 12.3  0.29  0.22  1860 0.22  1.37 
781 G341.039-00.114 ALMA33 13.1  0.32  0.20  2270 0.19  0.83 
782 G341.039-00.114 ALMA34 14.8  0.13  0.14  1650 0.13  0.88 
783 G341.039-00.114 ALMA35 13.2  0.25  0.14  2480 0.11  0.50 
784 G343.489-00.416 ALMA1  16.1  7.29  4.95  3090 2.05  7.45 
785 G343.489-00.416 ALMA2  15.3  1.10  1.15  1860 0.92  5.21 
786 G343.489-00.416 ALMA3  12.1  1.71  1.05  2480 0.81  3.41 
787 G343.489-00.416 ALMA4  12.0  0.77  0.55  2270 0.42  2.00 
788 G343.489-00.416 ALMA5   9.9  0.34  0.53  1240 0.56  5.43 
789 G343.489-00.416 ALMA6  12.5  0.47  0.35  1860 0.41  2.22 
790 G343.489-00.416 ALMA7  11.8  0.19  0.36  1240 0.38  3.03 
791 G343.489-00.416 ALMA8  10.7  0.63  0.41  2270 0.35  1.63 
792 G343.489-00.416 ALMA9  17.5  0.07  0.19   830 0.24  3.77 
793 G343.489-00.416 ALMA10 19.6  0.08  0.15  1030 0.18  2.21 
794 G343.489-00.416 ALMA11 13.5  0.12  0.25  1240 0.25  1.92 
795 G343.489-00.416 ALMA12  9.0  0.77  0.46  2480 0.38  1.54 
796 G343.489-00.416 ALMA13 11.8  0.24  0.27  1440 0.29  2.41 
797 G343.489-00.416 ALMA14  7.6  0.40  0.53  1440 0.54  4.02 
798 G343.489-00.416 ALMA15  8.2  0.58  0.47  1650 0.54  3.91 
799 G343.489-00.416 ALMA16 11.8  0.19  0.23  1650 0.20  1.28 
800 G343.489-00.416 ALMA17 14.8  0.18  0.16  1860 0.15  0.85 
801 G343.489-00.416 ALMA18 11.8  0.40  0.22  2890 0.15  0.50 
802 G343.489-00.416 ALMA19 12.1  0.19  0.19  1650 0.19  1.28 
803 G343.489-00.416 ALMA20 10.0  0.23  0.26  1650 0.26  1.55 
804 G343.489-00.416 ALMA21  8.8  0.46  0.31  2060 0.31  1.59 
805 G343.489-00.416 ALMA22 13.3  0.18  0.16  2060 0.12  0.62 
806 G343.489-00.416 ALMA23 13.1  0.09  0.16  1240 0.16  1.44 
807 G343.489-00.416 ALMA24 11.4  0.28  0.19  2480 0.14  0.56 
808 G343.489-00.416 ALMA25 14.8  0.17  0.12  2060 0.10  0.59 
809 G343.489-00.416 ALMA26 22.8  0.05  0.07  1440 0.07  0.50 
810 G343.489-00.416 ALMA27 14.2  0.14  0.13  1860 0.12  0.66 
811 G343.489-00.416 ALMA28 16.2  0.06  0.10  1440 0.09  0.60 
812 G343.489-00.416 ALMA29 12.0  0.13  0.14  1860 0.11  0.62 
813 G345.114-00.199 ALMA1  11.2  2.15  1.70  2480 1.05  4.29 
814 G345.114-00.199 ALMA2  11.2  0.59  0.78  1650 0.58  3.95 
815 G345.114-00.199 ALMA3  11.2  0.41  0.76  1240 0.73  6.58 
816 G345.114-00.199 ALMA4  11.2  1.14  0.44  2890 0.41  1.43 
817 G345.114-00.199 ALMA5  11.2  0.27  0.41  1240 0.44  4.32 
818 G345.114-00.199 ALMA6  11.2  1.01  0.40  2680 0.39  1.59 
819 G345.114-00.199 ALMA7  11.2  0.37  0.38  1650 0.36  2.50 
820 G345.114-00.199 ALMA8  11.2  0.49  0.37  2060 0.35  1.69 
821 G345.114-00.199 ALMA9  11.2  0.15  0.36  1030 0.45  4.10 
822 G345.114-00.199 ALMA10 11.2  0.21  0.35  1650 0.23  1.44 
823 G345.114-00.199 ALMA11 11.2  0.97  0.35  3090 0.30  0.99 
824 G345.114-00.199 ALMA12 11.2  0.17  0.35  1030 0.40  4.71 
825 G345.114-00.199 ALMA13 11.2  0.55  0.33  2270 0.33  1.43 
826 G345.114-00.199 ALMA14 11.2  0.33  0.31  1860 0.29  1.57 
827 G345.114-00.199 ALMA15 11.2  0.43  0.30  2060 0.31  1.47 
828 G345.114-00.199 ALMA16 11.2  0.18  0.29  1240 0.30  2.90 
829 G345.114-00.199 ALMA17 11.2  0.53  0.27  2680 0.21  0.84 
830 G345.114-00.199 ALMA18 11.2  0.15  0.27  1240 0.25  2.47 
831 G345.114-00.199 ALMA19 11.2  0.28  0.27  1650 0.27  1.86 
832 G345.114-00.199 ALMA20 11.2  0.42  0.26  2680 0.17  0.66 
833 G345.114-00.199 ALMA21 11.2  0.25  0.26  1650 0.23  1.67 
834 G345.114-00.199 ALMA22 11.2  0.42  0.24  2480 0.19  0.84 
835 G345.114-00.199 ALMA23 11.2  0.13  0.24  1440 0.20  1.32 
836 G345.114-00.199 ALMA24 11.2  0.20  0.22  1650 0.22  1.34 
837 G345.114-00.199 ALMA25 11.2  0.20  0.19  1860 0.17  0.95 
838 G345.114-00.199 ALMA26 11.2  0.37  0.19  2890 0.13  0.46 
